T02,"Population, density and surface area",,,,,
296,Kiribati,2015,Population mid-year estimates (millions),0.11,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
296,Kiribati,2015,Population mid-year estimates for males (millions),0.05,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
296,Kiribati,2015,Population mid-year estimates for females (millions),0.06,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
296,Kiribati,2015,Sex ratio (males per 100 females),96.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
296,Kiribati,2015,Population aged 0 to 14 years old (percentage),35.0,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
296,Kiribati,2015,Population aged 60+ years old (percentage),5.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
296,Kiribati,2015,Population density,136.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
296,Kiribati,2015,Surface area (thousand km2),1,Land area only. Excluding 84 square km of uninhabited islands.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
296,Kiribati,2019,Population mid-year estimates (millions),0.12,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
296,Kiribati,2019,Population mid-year estimates for males (millions),0.06,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
296,Kiribati,2019,Population mid-year estimates for females (millions),0.06,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
296,Kiribati,2019,Sex ratio (males per 100 females),96.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
296,Kiribati,2019,Population aged 0 to 14 years old (percentage),35.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
296,Kiribati,2019,Population aged 60+ years old (percentage),6.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
296,Kiribati,2019,Population density,145.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
296,Kiribati,2019,Surface area (thousand km2),1,Land area only. Excluding 84 square km of uninhabited islands.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
296,Kiribati,2021,Population mid-year estimates (millions),0.12,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
296,Kiribati,2021,Population mid-year estimates for males (millions),0.06,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
296,Kiribati,2021,Population mid-year estimates for females (millions),0.06,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
296,Kiribati,2021,Sex ratio (males per 100 females),96.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
296,Kiribati,2021,Population aged 0 to 14 years old (percentage),35.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
296,Kiribati,2021,Population aged 60+ years old (percentage),7.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
296,Kiribati,2021,Population density,149.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
414,Kuwait,2010,Population mid-year estimates (millions),2.99,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
414,Kuwait,2010,Population mid-year estimates for males (millions),1.73,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
